
Gene.name,Chromosome,Start,end
MMP23B,1,1632095,1701810
CDK11B,1,1635227,1659012
RP11-345P4.10,1,1659325,1662602
SLC35E2B,1,1659529,1692728
RP11-345P4.7,1,1671990,1673411
CDK11A,1,1702730,1724324
SLC35E2,1,1724838,1745992
NADK,1,1751232,1780457
GNB1,1,1785285,1891117
RP1-140A9.1,1,1891471,1892658
CALML6,1,1914827,1917296
TMEM52,1,1917590,1919273
CFAP74,1,1921951,2003837
RP11-547D24.1,1,2013213,2015530
GABRD,1,2019324,2030751
RP11-547D24.3,1,2049203,2050070
PRKCZ,1,2050470,2185395
RP5-892K4.1,1,2141084,2145279
RP11-181G12.2,1,2181794,2184389
FAAP20,1,2184461,2212720
RP11-181G12.4,1,2212523,2220738
SKI,1,2228695,2310119
MORN1,1,2321253,2391707
RER1,1,2391775,2405444
PEX10,1,2403964,2413797
PLCH2,1,2425980,2505530
RP3-395M20.2,1,2492300,2493258
RP3-395M20.3,1,2493437,2494479
PANK4,1,2508533,2526628
HES5,1,2528745,2530245
RP3-395M20.12,1,2546465,2547460
RP3-395M20.8,1,2549920,2557031
TNFRSF14,1,2555639,2565382
RP3-395M20.9,1,2581560,2584533
FAM213B,1,2586491,2591469
MMEL1,1,2590639,2632990
RP13-436F16.1,1,2632568,2636620
TTC34,1,2635976,2789755
RP11-740P5.2,1,2811850,2812692
RP11-740P5.3,1,2814432,2814998
ACTRT2,1,3021483,3022903
LINC00982,1,3059615,3068437
PRDM16,1,3069168,3438621
RP1-163G9.2,1,3132927,3133709
RP11-22L13.1,1,3306636,3310096
ARHGEF16,1,3454426,3481113
RP11-168F9.2,1,3487246,3487627
MEGF6,1,3489920,3611495
RP11-46F15.2,1,3623190,3624743
TPRG1L,1,3625002,3630127
WRAP73,1,3630767,3652761
TP73,1,3652520,3736201
RP5-1092A11.5,1,3658938,3668772
RP5-1092A11.2,1,3712200,3714298
TP73-AS1,1,3735601,3747336
CCDC27,1,3752398,3771645
SMIM1,1,3772788,3775982
LRRC47,1,3778558,3796504
RP1-286D6.5,1,3785008,3785538
CEP104,1,3812081,3857214
DFFB,1,3857267,3885429
C1orf174,1,3889125,3900293
LINC01134,1,3900372,3917225
LINC01346,1,3940565,3955262
RP13-614K11.2,1,3944547,3948980
RP5-1166F10.1,1,4412027,4424689
RP1-37J18.1,1,4551735,4552145
RP1-37J18.2,1,4571481,4594009
AJAP1,1,4654732,4792534
RP11-542C10.1,1,5086459,5090899
RP1-58B11.1,1,5492978,5494674
RP11-154H17.1,1,5587368,5668295
NPHP4,1,5862811,5992473
KCNAB2,1,5991466,6101193
CHD5,1,6101793,6180123
RPL22,1,6181269,6209389
RP1-120G22.11,1,6204840,6205780
RNF207,1,6205475,6221299
ICMT,1,6221193,6235972
LINC00337,1,6236240,6239444
HES3,1,6244192,6245578
GPR153,1,6247346,6260975
ACOT7,1,6264269,6394391
RP1-202O8.3,1,6393555,6394391
HES2,1,6412418,6424670
ESPN,1,6424788,6461370
RP1-202O8.2,1,6443034,6447006
TNFRSF25,1,6461151,6466195
PLEKHG5,1,6466092,6520061
NOL9,1,6521347,6554535
TAS1R1,1,6555181,6579757
ZBTB48,1,6580001,6589280
KLHL21,1,6590724,6614607
PHF13,1,6613685,6624033
THAP3,1,6624866,6635586
DNAJC11,1,6634168,6701924
RP11-242F24.1,1,6724637,6730012
RP11-312B8.1,1,6783892,6784843
CAMTA1,1,6785324,7769706
RP11-334N17.1,1,7008376,7014279
RP3-453P22.2,1,7382487,7389754
RP4-549F15.1,1,7441096,7441554
RP11-338N10.1,1,7693124,7694844
RP11-338N10.2,1,7698303,7698872
RP11-338N10.3,1,7700704,7700970
VAMP3,1,7771269,7781432
PER3,1,7784320,7845177
RP3-467L1.4,1,7810242,7827342
UTS2,1,7843083,7853512
TNFRSF9,1,7915894,7943165
PARK7,1,7954291,7985505
ERRFI1,1,8004404,8026308
RP11-431K24.1,1,8026738,8122702
RP11-431K24.3,1,8202429,8215210
RP11-431K24.4,1,8218190,8220529
SLC45A1,1,8317826,8344167
RERE,1,8352397,8817643
RP5-1115A15.1,1,8424645,8434838
RP4-633I8.4,1,8805860,8807051
ENO1,1,8861002,8879249
ENO1-AS1,1,8878835,8879894
CA6,1,8945867,8975092
SLC2A7,1,9003300,9026345
SLC2A5,1,9035107,9088478
GPR157,1,9100305,9129170
MIR34AHG,1,9148011,9196983
RP3-510D11.2,1,9182004,9196284
RP3-510D11.4,1,9197143,9198906
H6PD,1,9234775,9271337
SPSB1,1,9292880,9369532
RP13-392I16.1,1,9501092,9503471
SLC25A33,1,9539482,9585179
TMEM201,1,9588922,9614873
PIK3CD,1,9651732,9729114
PIK3CD-AS1,1,9652610,9654586
PIK3CD-AS2,1,9672426,9687555
CLSTN1,1,9729026,9824526
AL357140.1,1,9827610,9828258
CTNNBIP1,1,9848276,9910336
RP11-84A14.5,1,9848318,9850154
LZIC,1,9922113,9943407
NMNAT1,1,9943428,9985501
RBP7,1,9997206,10016020
UBE4B,1,10032832,10181239
KIF1B,1,10210805,10381603
PGD,1,10398592,10420144
RP4-736L20.3,1,10429881,10430677
APITD1-CORT,1,10430102,10452153
APITD1,1,10430443,10442809
CORT,1,10449719,10451902
DFFA,1,10456522,10472526
RP5-1113E3.3,1,10458555,10459338
PEX14,1,10472288,10630758
CASZ1,1,10636604,10796650
RP4-734G22.3,1,10639241,10654333
C1orf127,1,10946471,10982037
TARDBP,1,11012344,11026420
RP4-635E18.9,1,11012662,11030528
MASP2,1,11026523,11047233
RP4-635E18.8,1,11029659,11030528
SRM,1,11054584,11060024
EXOSC10,1,11066618,11099881
RP4-635E18.7,1,11068471,11073097
RP4-635E18.6,1,11099675,11102100
MTOR,1,11106535,11262507
MTOR-AS1,1,11143898,11149537
ANGPTL7,1,11189341,11195981
UBIAD1,1,11273206,11296049
PTCHD2,1,11479166,11537584
RP1-69M21.2,1,11609531,11613355
FBXO2,1,11648367,11655785
FBXO44,1,11654375,11663327
FBXO6,1,11664124,11674354
MAD2L2,1,11674480,11691650
DRAXIN,1,11691729,11725857
AGTRAP,1,11736084,11754802
C1orf167,1,11761787,11789585
RP11-56N19.5,1,11777077,11779619
MTHFR,1,11785723,11806920
CLCN6,1,11806096,11843144
NPPA-AS1,1,11841017,11848079
NPPA,1,11845709,11848345
NPPB,1,11857464,11858931
KIAA2013,1,11919591,11926428
PLOD1,1,11934205,11975538
MFN2,1,11980181,12013514
MIIP,1,12019466,12032045
TNFRSF8,1,12063377,12144207
TNFRSF1B,1,12167003,12209228
VPS13D,1,12230067,12512047
RP5-888M10.2,1,12527724,12528420
DHRS3,1,12567910,12617731
RP11-474O21.5,1,12618900,12619244
AADACL4,1,12644547,12667086
AADACL3,1,12716115,12728759
C1orf158,1,12746215,12763699
PRAMEF12,1,12774841,12777906
PRAMEF1,1,12791397,12796628
RP5-845O24.8,1,12822686,12823159
PRAMEF11,1,12824605,12831410
HNRNPCL1,1,12847377,12947578
PRAMEF2,1,12857086,12861909
PRAMEF4,1,12879224,12886201
PRAMEF10,1,12892896,12898270
PRAMEF7,1,12916610,12920482
PRAMEF6,1,12938472,13056491
PRAMEF27,1,13049476,13056491
PRAMEF26,1,13049476,13158092
PRAMEF25,1,13060853,13077884
HNRNPCL3,1,13060869,13062229
HNRNPCL2,1,13115496,13116854
RP13-221M14.2,1,13146981,13147460
HNRNPCL4,1,13164586,13165467
PRAMEF9,1,13172455,13179464
PRAMEF18,1,13222695,13226133
PRAMEF5,1,13254212,13263314
PRAMEF8,1,13281035,13285174
PRAMEF15,1,13303509,13322598
RP11-219C24.10,1,13324039,13324518
PRAMEF14,1,13342034,13347134
PRAMEF19,1,13369067,13371693
PRAMEF17,1,13389632,13392629
PRAMEF20,1,13410450,13421328
LRRC38,1,13474977,13514048
RP4-597A16.2,1,13513220,13516270
PDPN,1,13583465,13617957
CTA-520D8.2,1,13657311,13659910
PRDM2,1,13700198,13825079
RP11-344F13.1,1,14221891,14223118
RP4-704D23.1,1,14348955,14391575
KAZN,1,14598704,15118043
TMEM51-AS1,1,15111815,15152464
TMEM51,1,15152532,15220480
C1orf195,1,15164344,15171317
FHAD1,1,15247272,15400283
RP3-467K16.2,1,15326680,15343876
RP3-467K16.7,1,15334166,15335464
RP3-467K16.4,1,15402979,15409433
EFHD2,1,15409895,15430343
CTRC,1,15438439,15449242
CELA2A,1,15456728,15472091
CELA2B,1,15465909,15491400
CASP9,1,15490832,15526534
DNAJC16,1,15526813,15592379
RP4-680D5.8,1,15565611,15565956
AGMAT,1,15572353,15585110
RP4-680D5.2,1,15586136,15603626
DDI2,1,15617500,15669044
RSC1A1,1,15659869,15661722
RP4-680D5.9,1,15682873,15683128
PLEKHM2,1,15684332,15734769
RP11-288I21.1,1,15720312,15736896
SLC25A34,1,15736405,15741396
RP11-169K16.4,1,15740051,15749896
TMEM82,1,15742422,15747982
FBLIM1,1,15756607,15786594
UQCRHL,1,15807169,15809348
FLJ37453,1,15834474,15848147
SPEN,1,15847864,15940460
ZBTB17,1,15941869,15976132
C1orf64,1,16004236,16008807
RP11-5P18.5,1,16006160,16006671
HSPB7,1,16014028,16019594
CLCNKA,1,16018875,16034050
CLCNKB,1,16043736,16057308
FAM131C,1,16057769,16073632
EPHA2,1,16124337,16156087
RP11-276H7.2,1,16155211,16157329
RP11-276H7.3,1,16159266,16161883
ARHGEF19-AS1,1,16197854,16198357
ARHGEF19,1,16197854,16212609
RSG1,1,16231700,16237162
FBXO42,1,16246839,16352454
SZRD1,1,16352575,16398145
SPATA21,1,16387117,16437424
NECAP2,1,16440672,16460078
RP4-798A10.2,1,16460948,16468481
RP4-798A10.7,1,16514645,16515754
RP4-798A10.4,1,16520694,16521796
RP5-875O13.1,1,16533886,16536172
FAM231C,1,16539066,16539575
NBPF1,1,16562319,16613562
RP5-1182A14.5,1,16617391,16617729
RP1-163M9.8,1,16656879,16667524
FAM231A,1,16673003,16673512
RP1-163M9.7,1,16701546,16705594
RP5-1182A14.7,1,16739938,16750589
CROCC,1,16740273,16972979
RP11-108M9.1,1,16851257,16853129
RP11-108M9.2,1,16855407,16859284
RP11-108M9.3,1,16870945,16874092
RP11-108M9.4,1,16888538,16889649
RP11-108M9.6,1,16904339,16904776
MFAP2,1,16974502,16980835
RP1-37C10.3,1,16978926,17005091
ATP13A2,1,16985958,17011928
SDHB,1,17018722,17054170
PADI2,1,17066761,17119435
RP11-380J14.1,1,17189783,17197617
RP11-380J14.4,1,17193232,17201733
PADI1,1,17205126,17246005
PADI3,1,17249098,17284233
PADI4,1,17308195,17364004
AC004824.2,1,17329012,17331796
PADI6,1,17372196,17401699
RP1-20B21.4,1,17406760,17407382
RCC2,1,17406760,17439724
ARHGEF10L,1,17539835,17697874
RP11-473A10.2,1,17717687,17749978
ACTL8,1,17755313,17827063
RP11-174G17.2,1,18065657,18074412
IGSF21,1,18107746,18378483
RP11-174G17,1,18166929,18179346
RP11-422P22.1,1,18385829,18388514
KLHDC7A,1,18480982,18486126
PAX7,1,18631006,18748866
TAS1R2,1,18839599,18859682
RP13-279N23.2,1,18849273,18921121
ALDH4A1,1,18871430,18902781
IFFO2,1,18904281,18956686
UBR4,1,19074506,19210276
RP1-43E13.2,1,19210501,19240704
EMC1,1,19215664,19251552
MRTO4,1,19251539,19260128
AKR7A3,1,19282558,19289250
AKR7A2,1,19303965,19312146
PQLC2,1,19312326,19329300
CAPZB,1,19338776,19485539
RP5-1056L3.1,1,19591802,19596832
MINOS1,1,19596977,19629821
MINOS1-NBL1,1,19596979,19658056
NBL1,1,19640554,19658456
HTR6,1,19665287,19679562
TMCO4,1,19682213,19799945
RNF186,1,19814029,19815278
RP11-91K11.2,1,19814367,19819502
OTUD3,1,19882513,19912945
PLA2G2E,1,19920009,19923617
PLA2G2A,1,19975431,19980416
PLA2G5,1,20028179,20091190
PLA2G2D,1,20111939,20119566
PLA2G2F,1,20139326,20150386
RP3-340N1.2,1,20154338,20160568
PLA2G2C,1,20161253,20177424
UBXN10-AS1,1,20184242,20186486
UBXN10,1,20186085,20196048
RP3-340N1.6,1,20243095,20244655
VWA5B1,1,20290919,20354894
RP4-745E8.2,1,20294211,20323187
LINC01141,1,20360579,20431234
RP4-749H3.2,1,20412304,20413253
CAMK2N1,1,20482391,20486220
MUL1,1,20499448,20508161
FAM43B,1,20552439,20555010
CDA,1,20588948,20618908
PINK1,1,20633455,20651511
PINK1-AS,1,20642657,20652193
DDOST,1,20651767,20661544
KIF17,1,20664014,20718017
SH2D5,1,20719732,20732837
RP5-930J4.2,1,20732880,20733952
HP1BP3,1,20742661,20787323
EIF4G3,1,20806292,21176888
ECE1,1,21217247,21345504
RP3-329E20.2,1,21266082,21267251
RP5-1071N3.1,1,21293290,21299774
RP11-293F5.1,1,21415898,21417492
NBPF3,1,21440128,21485005
ALPL,1,21509372,21578412
RP11-63N8.3,1,21586472,21591187
RAP1GAP,1,21596215,21669363
USP48,1,21678298,21783606
LDLRAD2,1,21812265,21825221
HSPG2,1,21822245,21937297
CELA3B,1,21977021,21998642
CELA3A,1,22001656,22012539
RP1-224A6.3,1,22023990,22026048
LINC00339,1,22024531,22031225
CDC42,1,22052627,22092946
RP1-224A6.9,1,22100613,22101360
WNT4,1,22117305,22143969
ZBTB40,1,22451851,22531157
EPHA8,1,22563564,22603594
C1QA,1,22636506,22639608
C1QC,1,22643630,22648110
C1QB,1,22652762,22661538
EPHB2,1,22710839,22921500
RP11-69E9.1,1,22835713,22836849
LACTBL1,1,22953043,22965338
C1orf234,1,23010834,23015850
KDM1A,1,23019448,23083689
RP1-184J9.2,1,23020147,23088058
LUZP1,1,23084023,23177808
HTR1D,1,23191895,23194729
LINC01355,1,23281309,23286752
HNRNPR,1,23303771,23344336
ZNF436,1,23359448,23369442
ZNF436-AS1,1,23368997,23371839
RP5-1057J7.7,1,23378380,23379029
TCEA3,1,23381061,23424740
ASAP3,1,23428563,23484568
E2F2,1,23506430,23531220
RP1-150O5.3,1,23549139,23550915
ID3,1,23557918,23559794
MDS2,1,23581495,23640568
RPL11,1,23691779,23696425
TCEB3,1,23743155,23762059
TCEB3-AS1,1,23760382,23778287
PITHD1,1,23778405,23788232
LYPLA2,1,23790970,23795539
GALE,1,23795599,23800804
HMGCL,1,23801885,23838620
FUCA1,1,23845077,23868294
CNR2,1,23870526,23913362
RP11-4M23.3,1,23907111,23907885
PNRC2,1,23959109,23963462
SRSF10,1,23964804,23980927
RP11-293P20.2,1,24040835,24086799
MYOM3,1,24056035,24112175
RP11-293P20.4,1,24066774,24083565
IL22RA1,1,24119771,24143121
IFNLR1,1,24154157,24187959
RP11-10N16.2,1,24200240,24211693
RP11-10N16.3,1,24307556,24321901
GRHL3,1,24319322,24364482
STPG1,1,24356999,24416934
NIPAL3,1,24415794,24472976
RCAN3,1,24502351,24541040
RP4-594I10.3,1,24538802,24556024
NCMAP,1,24556111,24609328
SRRM1,1,24631716,24673267
CLIC4,1,24745357,24844324
RUNX3,1,24899511,24965121
RP11-84D1.1,1,24961345,24963097
RP11-84D1.2,1,24968423,24970865
RP4-799D16.1,1,25043707,25113120
RP4-706G24.1,1,25208139,25209437
SYF2,1,25222679,25232502
RSRP1,1,25242237,25338213
RP3-465N24.6,1,25247837,25248321
RHD,1,25272393,25330445
TMEM50A,1,25337917,25362361
RHCE,1,25362249,25430192
TMEM57,1,25430858,25500209
LDLRAP1,1,25543580,25568886
RP11-70P17.1,1,25581478,25590356
MAN1C1,1,25617468,25786207
RP1-187B23.1,1,25644544,25659111
SEPN1,1,25800176,25818224
RP1-317E23.6,1,25811470,25823744
RP1-317E23.3,1,25816749,25820797
MTFR1L,1,25818640,25832942
RP1-317E23.7,1,25831913,25832134
AUNIP,1,25831913,25859458
RP1-125I3.2,1,25859613,25863420
PAQR7,1,25861210,25871253
STMN1,1,25884181,25906991
PAFAH2,1,25959767,25998157
EXTL1,1,26019884,26036464
SLC30A2,1,26037252,26046133
TRIM63,1,26051304,26068436
PDIK1L,1,26111165,26125543
FAM110D,1,26159020,26163962
RP11-96L14.8,1,26164161,26168581
RP11-96L14.7,1,26169516,26171821
ZNF593,1,26169871,26172060
CNKSR1,1,26177403,26189886
CATSPER4,1,26190561,26202968
CEP85,1,26234153,26279038
SH3BGRL3,1,26279176,26281522
UBXN11,1,26281328,26318363
CD52,1,26317957,26320523
AIM1L,1,26321859,26354130
ZNF683,1,26361634,26374522
LIN28A,1,26410778,26429722
DHDDS,1,26432282,26471294
RP3-476K8.3,1,26462756,26467282
HMGN2,1,26472450,26475972
RPS6KA1,1,26529761,26575030
RP5-968P14.2,1,26692132,26694131
ARID1A,1,26696033,26782104
PIGV,1,26787472,26798398
ZDHHC18,1,26826710,26857602
SFN,1,26863138,26864457
GPN2,1,26876133,26890297
RP1-50O24.6,1,26876133,26878245
GPATCH3,1,26890488,26900466
NUDC,1,26900238,26946862
NR0B2,1,26911489,26913966
KDF1,1,26949562,26960406
TRNP1,1,26993707,27000898
FAM46B,1,27005020,27012836
AL137860.1,1,27064991,27065365
SLC9A1,1,27098815,27166981
RP11-40H20.4,1,27229106,27234352
WDTC1,1,27234516,27308633
TMEM222,1,27322145,27336400
SYTL1,1,27342020,27353937
MAP3K6,1,27355184,27366892
FCN3,1,27369112,27374824
CD164L2,1,27379176,27383380
GPR3,1,27392644,27395814
WASF2,1,27404226,27490158
RP4-752I6.1,1,27457198,27459582
RP1-159A19.4,1,27525805,27530561
AHDC1,1,27534035,27604431
FGR,1,27612064,27635277
RP11-288L9.1,1,27660328,27662722
IFI6,1,27666061,27672218
RP11-288L9.4,1,27669468,27703063
FAM76A,1,27725979,27763122
STX12,1,27773183,27824452
PPP1R8,1,27830778,27851676
AL109927.1,1,27850574,27850744
THEMIS2,1,27872543,27886685
RPA2,1,27891524,27914746
SMPDL3B,1,27934993,27959157
RP11-460I13.2,1,27938875,27960193
XKR8,1,27959462,27968096
EYA3,1,27970344,28088696
PTAFR,1,28147166,28193936
DNAJC8,1,28199456,28233025
ATPIF1,1,28236109,28246906
RP5-1092A3.4,1,28239509,28241453
RP5-1092A3.5,1,28247144,28247568
SESN2,1,28259527,28282491
MED18,1,28329002,28335967
PHACTR4,1,28369582,28500369
RCC1,1,28505943,28539300
TRNAU1AP,1,28553085,28578545
SNHG12,1,28578538,28582983
TAF12,1,28589323,28643085
RAB42,1,28592200,28595443
RP11-442N24__B.1,1,28643228,28648581
RNU11,1,28648600,28648730
GMEB1,1,28668732,28719353
YTHDF2,1,28736621,28769775
OPRD1,1,28812142,28871267
RP1-212P9.3,1,28870483,28877336
EPB41,1,28887091,29120046
TMEM200B,1,29119428,29123935
RP11-242O24.3,1,29144494,29146994
SRSF4,1,29147743,29181987
MECR,1,29192873,29230942
RP11-467D18.2,1,29223933,29224816
PTPRU,1,29236516,29326813
RP3-437I16.1,1,29329620,29350114
RP4-656G21.1,1,29708851,29709547
RP11-111I12.1,1,30013952,30037612
RP5-893G23.1,1,30140263,30141607
RP4-591L5.1,1,30409560,30411638
RP4-591L5.2,1,30415825,30421108
MATN1,1,30711277,30723587
MATN1-AS1,1,30718504,30726827
LAPTM5,1,30732469,30757820
RP5-1125N11.1,1,30810378,30815553
RP5-1125N11.2,1,30824228,30834431
RP1-65J11.5,1,30858158,30860254
SDC3,1,30869467,30908761
PUM1,1,30931506,31065991
NKAIN1,1,31179745,31239554
SNRNP40,1,31259568,31296782
ZCCHC17,1,31296982,31364953
RP11-266K22.2,1,31333067,31346799
FABP3,1,31365625,31376850
SERINC2,1,31409565,31434680
LINC01226,1,31518435,31524245
RP11-73M7.1,1,31571585,31575573
TINAGL1,1,31576485,31587686
HCRTR1,1,31617686,31632518
PEF1,1,31629862,31644896
RP11-73M7.6,1,31644049,31660162
RP11-73M7.9,1,31644694,31649371
COL16A1,1,31652247,31704319
ADGRB2,1,31727117,31764893
RP11-84A19.3,1,31789130,31791322
SPOCD1,1,31790422,31816051
RP11-84A19.2,1,31842019,31855568
RP11-84A19.4,1,31851913,31921841
PTP4A2,1,31906421,31944856
RP4-534N18.2,1,31933020,31933975
KHDRBS1,1,32013829,32060850
RP11-277A4.4,1,32052291,32073474
TMEM39B,1,32072031,32102866
KPNA6,1,32108038,32176568
TXLNA,1,32179686,32198285
CCDC28B,1,32200386,32205387
RP4-622L5.7,1,32204769,32206814
IQCC,1,32205661,32208687
DCDC2B,1,32209094,32216196
TMEM234,1,32214472,32222359
EIF3I,1,32221928,32231604
FAM167B,1,32247233,32248856
LCK,1,32251239,32286165
HDAC1,1,32292086,32333635
MARCKSL1,1,32333832,32336379
RP4-811H24.9,1,32349194,32350663
TSSK3,1,32351521,32364312
FAM229A,1,32361270,32364278
BSDC1,1,32365103,32394731
RP1-27O5.3,1,32465057,32600792
ZBTB8B,1,32465069,32496686
ZBTB8A,1,32539427,32605939
ZBTB8OS,1,32600172,32650903
RBBP4,1,32651142,32686211
SYNC,1,32680360,32703596
RP11-114B7.6,1,32717734,32725237
KIAA1522,1,32741885,32774970
YARS,1,32775237,32818153
S100PBP,1,32816767,32858879
FNDC5,1,32862268,32872482
HPCA,1,32885994,32898441
TMEM54,1,32894594,32901438
RNF19B,1,32936445,32964685
RP1-117O3.2,1,32987075,33032469
AK2,1,33007940,33080996
AZIN2,1,33081104,33120530
TRIM62,1,33145402,33182059
ZNF362,1,33256545,33300719
RP11-415J8.7,1,33261212,33261680
A3GALT2,1,33306766,33321098
RP11-415J8.3,1,33307348,33349245
PHC2,1,33323623,33431052
RP11-415J8.5,1,33350352,33363245
ZSCAN20,1,33472645,33496507
CSMD2,1,33513999,34165842
HMGB4,1,33860475,33864791
CSMD2-AS1,1,33868953,33885458
C1orf94,1,34166883,34219131
SMIM12,1,34712737,34859816
GJB5,1,34755047,34758512
GJB4,1,34759741,34763724
RP1-34M23.5,1,34761426,34788097
GJB3,1,34781189,34786369
GJA4,1,34792998,34795747
RP5-997D16.2,1,34850694,34851555
DLGAP3,1,34865436,34929585
RP11-244H3.4,1,34981533,35031741
ZMYM6NB,1,34981535,34985353
ZMYM6,1,34986165,35031968
ZMYM1,1,35059786,35115859
SFPQ,1,35176378,35193148
ZMYM4,1,35268967,35422058
ZMYM4-AS1,1,35358822,35366077
KIAA0319L,1,35433490,35557950
NCDN,1,35557473,35567274
RP4-728D4.2,1,35569813,35577729
TFAP2E,1,35573370,35595328
PSMB2,1,35599544,35641844
C1orf216,1,35713875,35719472
CLSPN,1,35720218,35769967
RP11-435D7.3,1,35739389,35743576
AGO4,1,35808172,35857890
AGO1,1,35869808,35930528
RP4-789D17.5,1,35929720,35930115
AGO3,1,35930718,36072500
RP4-665N4.8,1,35992109,36013630
TEKT2,1,36084075,36088275
ADPRHL2,1,36088875,36093932
COL8A2,1,36095236,36125220
TRAPPC3,1,36136570,36156053
MAP7D1,1,36155579,36180849
THRAP3,1,36224416,36305357
SH3D21,1,36306387,36324886
EVA1B,1,36322031,36324154
RP11-268J15.5,1,36323734,36329221
STK40,1,36339624,36385896
LSM10,1,36391238,36397892
OSCP1,1,36415827,36450451
MRPS15,1,36455718,36464437
CSF3R,1,36466043,36483278
RP4-614N24.1,1,36773140,36775768
GRIK3,1,36795527,37034129
RP5-1180C18.1,1,37262739,37325100
LINC01137,1,37454879,37474411
ZC3H12A,1,37474552,37484379
MEAF6,1,37492575,37514774
SNIP1,1,37534449,37554302
DNALI1,1,37556919,37566857
GNL2,1,37566816,37595935
RSPO1,1,37611350,37634923
C1orf109,1,37681570,37692249
CDCA8,1,37692418,37709719
EPHA10,1,37713880,37765133
MANEAL,1,37793802,37801137
RP11-109P14.9,1,37799720,37800879
YRDC,1,37802944,37808185
C1orf122,1,37806979,37809454
MTF1,1,37809567,37859620
INPP5B,1,37860697,37947057
RP11-109P14.10,1,37860697,37861580
SF3A3,1,37956975,37990921
FHL3,1,37996770,38005606
UTP11L,1,38009258,38024824
POU3F1,1,38043827,38046794
RP5-884C9.2,1,38047314,38119025
LINC01343,1,38209034,38214767
RP11-329N22.1,1,38474875,38496034
RRAGC,1,38838198,38859823
RP5-864K19.4,1,38860000,38919396
MYCBP,1,38862964,38874105
RP5-864K19.6,1,38864501,38881617
GJA9,1,38874451,38881587
RHBDL2,1,38885807,38941799
AKIRIN1,1,38991223,39006059
NDUFS5,1,39026318,39034636
MACF1,1,39081316,39487177
RP11-420K8.1,1,39249838,39257649
BMP8A,1,39491646,39525935
RP11-69E11.4,1,39522280,39546187
PABPC4,1,39560816,39576790
RP11-69E11.8,1,39565160,39573203
HEYL,1,39624153,39639945
RP1-144F13.3,1,39633416,39633903
NT5C1A,1,39659121,39672038
HPCAL4,1,39678648,39691689
PPIE,1,39692182,39763914
BMP8B,1,39757182,39788861
OXCT2,1,39769523,39771348
RP1-118J21.25,1,39788976,39790171
TRIT1,1,39841022,39883511
MYCL,1,39895426,39902256
RP1-118J21.5,1,39897745,39899098
MFSD2A,1,39955112,39969968
CAP1,1,40040233,40072649
PPT1,1,40072705,40097703
RLF,1,40161373,40240921
TMCO2,1,40245947,40251691
RP1-39G22.7,1,40256427,40257967
ZMPSTE24,1,40258107,40294184
COL9A2,1,40300487,40317816
